task_id,text,code,AI_code
1,"Write a function to find the minimum cost path to reach (m, n) from (0, 0) for the given cost matrix cost[][] and a position (m, n) in cost[][].","R = 3
C = 3
def min_cost(cost, m, n): 
	tc = [[0 for x in range(C)] for x in range(R)] 
	tc[0][0] = cost[0][0] 
	for i in range(1, m+1): 
		tc[i][0] = tc[i-1][0] + cost[i][0] 
	for j in range(1, n+1): 
		tc[0][j] = tc[0][j-1] + cost[0][j] 
	for i in range(1, m+1): 
		for j in range(1, n+1): 
			tc[i][j] = min(tc[i-1][j-1], tc[i-1][j], tc[i][j-1]) + cost[i][j] 
	return tc[m][n]","```python
def min_cost_path(cost):
    m = len(cost)
    n = len(cost[0])
    dp = [[0] * n for _ in range(m)]

    dp[0][0] = cost[0][0]
    for i in range(1, m):
        dp[i][0] = dp[i-1][0] + cost[i][0]
    for j in range(1, n):
        dp[0][j] = dp[0][j-1] + cost[0][j]

    for i in range(1, m):
        for j in range(1, n):
            dp[i][j] = min(dp[i-1][j], dp[i][j-1]) + cost[i][j]

    return dp[m-1][n-1]
```"
2,Write a function to find the similar elements from the given two tuple lists.,"def similar_elements(test_tup1, test_tup2):
  res = tuple(set(test_tup1) & set(test_tup2))
  return (res) ","```python
def similar_elements(tuple_list1, tuple_list2):
    set_tuple_list1 = {item for tup in tuple_list1 for item in tup}
    set_tuple_list2 = {item for tup in tuple_list2 for item in tup}
    return list(set_tuple_list1 & set_tuple_list2)
```"
3,Write a python function to identify non-prime numbers.,"import math
def is_not_prime(n):
    result = False
    for i in range(2,int(math.sqrt(n)) + 1):
        if n % i == 0:
            result = True
    return result","```python
def non_prime_numbers(n):
    def is_prime(num):
        if num < 2:
            return False
        for i in range(2, int(num**0.5) + 1):
            if num % i == 0:
                return False
        return True
    
    return [i for i in range(2, n+1) if not is_prime(i)]
```"
4,Write a function to find the largest integers from a given list of numbers using heap queue algorithm.,"import heapq as hq
def heap_queue_largest(nums,n):
  largest_nums = hq.nlargest(n, nums)
  return largest_nums","```python
import heapq

def find_largest_numbers(num_list):
    if len(num_list) < 3:
        return sorted(num_list, reverse=True)
    else:
        return heapq.nlargest(3, num_list)

# You can use the function like this: 
# print(find_largest_numbers([12,45,7,23,56,89,34]))
```"
5,Write a function to find the number of ways to fill it with 2 x 1 dominoes for the given 3 x n board.,"def count_ways(n): 
	A = [0] * (n + 1) 
	B = [0] * (n + 1) 
	A[0] = 1
	A[1] = 0
	B[0] = 0
	B[1] = 1
	for i in range(2, n+1): 
		A[i] = A[i - 2] + 2 * B[i - 1] 
		B[i] = A[i - 1] + B[i - 2] 
	return A[n] ","```python
def domino_piling(n):
    if n == 1:
        return 1
    elif n == 2:
        return 3
    dp = [0] * (n + 1)
    dp[1] = 1
    dp[2] = 3
    for i in range(3, n + 1):
        dp[i] = dp[i - 1] + dp[i - 2]
    return dp[n]
```"
6,Write a python function to check whether the two numbers differ at one bit position only or not.,"def is_Power_Of_Two (x): 
    return x and (not(x & (x - 1))) 
def differ_At_One_Bit_Pos(a,b): 
    return is_Power_Of_Two(a ^ b)","```python
def differ_by_one_bit(a, b):
    return bin(a ^ b).count('1') == 1
```"
7,Write a function to find all words which are at least 4 characters long in a string by using regex.,"import re
def find_char_long(text):
  return (re.findall(r""\b\w{4,}\b"", text))","```python
import re

def find_words_at_least_4_chars_long(input_string):
    pattern = r'\b\w{4,}\b'
    words = re.findall(pattern, input_string)
    return words
```

You can call the function with a string argument to get the list of words that are at least 4 characters long. For example:
```python
words_list = find_words_at_least_4_chars_long(""This is an example sentence."")
```"
8,Write a function to find squares of individual elements in a list using lambda function.,"def square_nums(nums):
 square_nums = list(map(lambda x: x ** 2, nums))
 return square_nums","```python
def find_squares(lst):
    squares = list(map(lambda x: x**2, lst))
    return squares
```"
9,Write a python function to find the minimum number of rotations required to get the same string.,"def find_Rotations(str): 
    tmp = str + str
    n = len(str) 
    for i in range(1,n + 1): 
        substring = tmp[i: i+n] 
        if (str == substring): 
            return i 
    return n ","```python
def min_rotations(s):
    t = s + s
    for i in range(1, len(s)):
        if s == t[i:i+len(s)]:
            return i
    return 0
```"
10,Write a function to get the n smallest items from a dataset.,"import heapq
def small_nnum(list1,n):
  smallest=heapq.nsmallest(n,list1)
  return smallest","```python
import heapq

def get_n_smallest(dataset, n):
    return heapq.nsmallest(n, dataset)
```"
11,Write a python function to remove first and last occurrence of a given character from the string.,"def remove_Occ(s,ch): 
    for i in range(len(s)): 
        if (s[i] == ch): 
            s = s[0 : i] + s[i + 1:] 
            break
    for i in range(len(s) - 1,-1,-1):  
        if (s[i] == ch): 
            s = s[0 : i] + s[i + 1:] 
            break
    return s ","```python
def remove_first_last_occurrence(s, c):
    first_index = s.find(c)
    if first_index != -1:
        last_index = len(s) - 1 - s[::-1].find(c)
        if first_index == last_index:
            return s.replace(c, '', 1)
        else:
            return s[:first_index] + s[first_index+1:last_index] + s[last_index+1:]
    else:
        return s
```"
12,Write a function to sort a given matrix in ascending order according to the sum of its rows.,"def sort_matrix(M):
    result = sorted(M, key=sum)
    return result","```python
def sort_matrix_by_row_sum(matrix):
    return sorted(matrix, key=sum)
```"
13,Write a function to count the most common words in a dictionary.,"from collections import Counter
def count_common(words):
  word_counts = Counter(words)
  top_four = word_counts.most_common(4)
  return (top_four)
","```python
from collections import Counter

def most_common_words(dictionary):
    words = ' '.join(dictionary.values()).lower().split()
    word_counts = Counter(words)
    max_count = max(word_counts.values())
    most_common = [word for word, count in word_counts.items() if count == max_count]
    return most_common
```"
14,Write a python function to find the volume of a triangular prism.,"def find_Volume(l,b,h) : 
    return ((l * b * h) / 2) ","```python
def volume_of_triangular_prism(base_area, height):
    return base_area * height
```"
15,Write a function to split a string at lowercase letters.,"import re
def split_lowerstring(text):
 return (re.findall('[a-z][^a-z]*', text))","```python
def split_at_lowercase(s):
    result = []
    current_word = ''
    
    for char in s:
        if char.islower():
            if current_word:
                result.append(current_word)
            current_word = char
        else:
            current_word += char
            
    if current_word:
        result.append(current_word)
        
    return result
```"
16,Write a function to find sequences of lowercase letters joined with an underscore.,"import re
def text_lowercase_underscore(text):
        patterns = '^[a-z]+_[a-z]+$'
        if re.search(patterns,  text):
                return 'Found a match!'
        else:
                return('Not matched!')","```python
import re

def find_lowercase_sequences(input_string):
    pattern = r'[a-z]+_[a-z_]*[a-z]'
    matches = re.findall(pattern, input_string)
    return matches
```"
17,Write a function to find the perimeter of a square.,"def square_perimeter(a):
  perimeter=4*a
  return perimeter","```python
def find_square_perimeter(side_length):
    if side_length < 0:
        raise ValueError(""Side length must be a non-negative number."")
    perimeter = 4 * side_length
    return perimeter
```"
18,Write a function to remove characters from the first string which are present in the second string.,"NO_OF_CHARS = 256
def str_to_list(string): 
	temp = [] 
	for x in string: 
		temp.append(x) 
	return temp 
def lst_to_string(List): 
	return ''.join(List) 
def get_char_count_array(string): 
	count = [0] * NO_OF_CHARS 
	for i in string: 
		count[ord(i)] += 1
	return count 
def remove_dirty_chars(string, second_string): 
	count = get_char_count_array(second_string) 
	ip_ind = 0
	res_ind = 0
	temp = '' 
	str_list = str_to_list(string) 
	while ip_ind != len(str_list): 
		temp = str_list[ip_ind] 
		if count[ord(temp)] == 0: 
			str_list[res_ind] = str_list[ip_ind] 
			res_ind += 1
		ip_ind+=1
	return lst_to_string(str_list[0:res_ind]) ","```python
def remove_chars(str1, str2):
    for char in str2:
        str1 = str1.replace(char, '')
    return str1
```"
19,Write a function to find whether a given array of integers contains any duplicate element.,"def test_duplicate(arraynums):
    nums_set = set(arraynums)    
    return len(arraynums) != len(nums_set)     ","```python
def contains_duplicate(nums):
    num_set = set()
    for num in nums:
        if num in num_set:
            return True
        num_set.add(num)
    return False
```"
20,Write a function to check if the given number is woodball or not.,"def is_woodall(x): 
	if (x % 2 == 0): 
		return False
	if (x == 1): 
		return True
	x = x + 1 
	p = 0
	while (x % 2 == 0): 
		x = x/2
		p = p + 1
		if (p == x): 
			return True
	return False","```python
def is_woodball(num):
    digits = [int(digit) for digit in str(num)]
    sum_of_digits = sum(digits)
    product_of_digits = 1
    for digit in digits:
        product_of_digits *= digit
    return (product_of_digits % sum_of_digits == 0) and (sum_of_digits != 0)
```"
21,Write a function to find m number of multiples of n.,"def multiples_of_num(m,n): 
    multiples_of_num= list(range(n,(m+1)*n, n)) 
    return list(multiples_of_num)","```python
def find_multiples(m, n):
    return [i for i in range(n, m*n+1, n)]
```"
22,Write a function to find the first duplicate element in a given array of integers.,"def find_first_duplicate(nums):
    num_set = set()
    no_duplicate = -1

    for i in range(len(nums)):

        if nums[i] in num_set:
            return nums[i]
        else:
            num_set.add(nums[i])

    return no_duplicate","```python
def find_first_duplicate(nums):
    seen = set()
    for num in nums:
        if num in seen:
            return num
        seen.add(num)
    return None
```"
23,Write a python function to find the maximum sum of elements of list in a list of lists.,"def maximum_Sum(list1): 
    maxi = -100000
    for x in list1: 
        sum = 0 
        for y in x: 
            sum+= y      
        maxi = max(sum,maxi)     
    return maxi ","```python
def max_sum_sublist(list_of_lists):
    if not list_of_lists:
        return 0
    
    max_sum = float('-inf')
    
    for sublist in list_of_lists:
        current_sum = sum(sublist)
        if current_sum > max_sum:
            max_sum = current_sum
            
    return max_sum
```"
24,Write a function to convert the given binary number to its decimal equivalent.,"def binary_to_decimal(binary): 
    binary1 = binary 
    decimal, i, n = 0, 0, 0
    while(binary != 0): 
        dec = binary % 10
        decimal = decimal + dec * pow(2, i) 
        binary = binary//10
        i += 1
    return (decimal)","```python
def binary_to_decimal(binary):
    if not set(binary).issubset({'0', '1'}):
        raise ValueError(""Invalid binary number"")
    return int(binary, 2)
```"
25,Write a python function to find the product of non-repeated elements in a given array.,"def find_Product(arr,n): 
    arr.sort() 
    prod = 1
    for i in range(0,n,1): 
        if (arr[i - 1] != arr[i]): 
            prod = prod * arr[i] 
    return prod; ","```python
def product_of_non_repeated_elements(array):
    count_dict = {}
    for num in array:
        if num in count_dict:
            count_dict[num] += 1
        else:
            count_dict[num] = 1
    
    product = 1
    for key, value in count_dict.items():
        if value == 1:
            product *= key
            
    return product
```"
26,Write a function to check if the given tuple list has all k elements.,"def check_k_elements(test_list, K):
  res = True
  for tup in test_list:
    for ele in tup:
      if ele != K:
        res = False
  return (res) ","```python
def check_tuple_list(tuple_list, k):
    for tup in tuple_list:
        if len(tup) != k:
            return False
    return True
```"
27,Write a python function to remove all digits from a list of strings.,"import re  
def remove(list): 
    pattern = '[0-9]'
    list = [re.sub(pattern, '', i) for i in list] 
    return list","```python
def remove_digits_from_strings(lst):
    return [''.join(filter(str.isalpha, s)) for s in lst]
```"
28,Write a python function to find binomial co-efficient.,"def binomial_Coeff(n,k): 
    if k > n : 
       return 0
    if k==0 or k ==n : 
        return 1 
    return binomial_Coeff(n-1,k-1) + binomial_Coeff(n-1,k) ","```python
import math

def binomial_coefficient(n, k):
    if k > n - k:
        k = n - k
    result = 1
    for i in range(k):
        result = result * (n - i) / (i + 1)
    return int(result)

# Alternative solution using math library
def binomial_coefficient_math(n, k):
    return math.comb(n, k)
```"
29,Write a python function to find the element occurring odd number of times.,"def get_Odd_Occurrence(arr,arr_size):   
    for i in range(0,arr_size): 
        count = 0
        for j in range(0,arr_size): 
            if arr[i] == arr[j]: 
                count+=1     
        if (count % 2 != 0): 
            return arr[i]     
    return -1","```python
def find_odd_occurrence(arr):
    for num in arr:
        if arr.count(num) % 2 != 0:
            return num
```
Alternatively, you can use a dictionary to improve efficiency:

```python
def find_odd_occurrence(arr):
    count_dict = {}
    for num in arr:
        if num in count_dict:
            count_dict[num] += 1
        else:
            count_dict[num] = 1
    for key, value in count_dict.items():
        if value % 2 != 0:
            return key
```
Or using XOR operator:

```python
def find_odd_occurrence(arr):
    result = 0
    for num in arr:
        result ^= num
    return result
```"
30,Write a python function to count all the substrings starting and ending with same characters.,"def check_Equality(s): 
    return (ord(s[0]) == ord(s[len(s) - 1])); 
def count_Substring_With_Equal_Ends(s): 
    result = 0; 
    n = len(s); 
    for i in range(n): 
        for j in range(1,n-i+1):  
            if (check_Equality(s[i:i+j])): 
                result+=1; 
    return result; ","```python
def count_substrings(s):
    n = len(s)
    count = 0
    for i in range(n):
        for j in range(i + 1, n + 1):
            if s[i] == s[j - 1]:
                count += 1
    return count
```"
31,Write a function to find the top k integers that occur most frequently from given lists of sorted and distinct integers using heap queue algorithm.,"def func(nums, k):
    import collections
    d = collections.defaultdict(int)
    for row in nums:
        for i in row:
            d[i] += 1
    temp = []
    import heapq
    for key, v in d.items():
        if len(temp) < k:
            temp.append((v, key))
            if len(temp) == k:
                heapq.heapify(temp)
        else:
            if v > temp[0][0]:
                heapq.heappop(temp)
                heapq.heappush(temp, (v, key))
    result = []
    while temp:
        v, key = heapq.heappop(temp)
        result.append(key)
    return result","```python
from collections import Counter
import heapq

def topKFrequent(nums):
    count = Counter(nums)
    return heapq.nlargest(5, count.keys(), key=count.get)
```"
